OrderId,Outfit_type,order_item_1,order_item_2,order_item_3,order_item_4,order_item_5,order_item_6,order_item_7,order_item_8
1,1,yoins leather sexy v-neck sleeveless crop top__11,solid color long sleeve irregular blazer__236,alice+olivia floral pattern a-line skirt__9,zipped top chunky booties__261,gold boho turquoise leaf tassel earrings__64,etro heart locket necklace__62,1 flower mandala blue crystal clear phone case iphone case iphone plus case iphone cover iphone plus cover__1967,velvetines liquid matte lipstick__200
2,0,ag jeans super skinny jeans__237,pompom beanie__55,mock neck sweater__19,zip quilted pilot jacket__25,tie faux leather short boots__261,pcs makeup brushes set pcs beauty blush brush foundation brush contour brush__319,0,0
3,0,yoins plus size blue stripe shirt__11,yoins grey sleeveless faux fur coat__24,topshop moto dark indigo jamie jeans__237,yoins grey buckle design chunky heels short boots__261,wild side mini hair__58,bobbi brown peach__188,set__171,valentino small shoulder bag goop__37
4,1,boho brown pink print wood beaded halter summer dress__4,steve madden women's sandals__46,boho suede fringe crossbody__37,yoins boho tassel drop earrings__64,simons boho weave floppy hat__55,0,0,0
5,0,yoins beige double breasted 0 outerwear__24,classic skinny jeans__237,sonia rykiel metallic striped knitted top__11,yoins apricot leather-look tote bag__36,yoins brown lace-up design sole short boots__261,miu miu heart sunglasses__57,ted baker crystal bow leather bracelet__106,sophie miller sterling silver black white cubic zirconia bow stud earrings__64
6,1,brown scallop lace tunic dress__4,cardigan__18,chloe fringed plaid blanket coat__24,yeezy season leggings__241,aquazzura fringe tie boots__42,aquazzura fringe tie boots__42,stella mccartney coffee falabella fringed bucket bag__37,gold-tone faux-leather feather drop earrings__64
7,0,gucci garden exclusive t-shirt__21,fendi patch pocket mini skirt__8,miu miu patent leather ballerinas__47,women's fendi petite leather shopper genuine fox fur monster charm__36,michael michael kors shades pom pom key charm__318,sterling silver bracelet snake moss green__106,betsey johnson luminous betsey snake drop earrings multi earring__64,dolce vita lip kit__200
8,1,rosie washed silk top__11,waist__2,color match soft sole flat slip loafers__265,women crocodile leather chain strap messenger bag__258,0,0,0,0
9,1,betsey johnson 1 dress__4,women's lucky brand leather caged platform sandal__46,white statement earrings large flower__64,white statement earrings large flower__64,0,0,0,0
10,1,peacock chair__123,chocolate brown vintage__120,chocolate brown vintage__120,vintage rug x__136,boho boutique panel__314,amazon.com flowers willow green vase inches length x inches high artificial flowers__4438,book box set paris butterfly__4254,pre-owned vibrant tribal embroidery pillow__144
11,1,desk__146,inspired eiffel dining plastic modern office warm grey__4499,desk lamp gold target australia__4504,vintage rug cute tribal rug__136,fern succulent mix forest pot__4438,luxury linen blend embroidered decorative throw pillow shell insert__144,dot bo pen stand__4438,cat handmade kitten kitty white gray home decor desk gift wood__182
12,1,embroidered tunic dress__4,isabel marant ankle boots__261,cross body fringe bag__37,vintage gemstone filigree bracelet__106,h&m earrings__64,peach coral rose real touch flower hair clip__58,0,0
13,0,isabel marant Étoile knitted dress__4,lapel collar faux shearling peacoat__24,rivet zipper buckle boots__42,vintage circle ring loop tassels crossbody bag__37,0,0,0,0
14,0,cropped tank top peace american flag summer spring peace sign ladies w__104,cute crop tee__21,printed striped t-shirt__21,victoria's secret pink beach zip hoodie__4496,bralet__11,sailor shorts red__29,tall blue high waisted super skinny jeans__237,row moto leggings__241
15,1,victoria's secret perfume__95,topshop lip balm eos__211,forever faux suede bow barrette__58,velvet rose gold-plated crystal choker__62,moschino rucksack__259,gucci butterfly embroidered cotton t-shirt__21,choies light blue letter patch ripped pockets denim coat__24,jeans linda mid-rise boyfriend jeans__240
16,0,anya cole open knit sweater__19,wildfox bright cut tank top__104,mankind skinny coated jeans royal blue__237,vans silver metallic leather authentic trainers__49,jil sander boxy knitted leather shoulder bag__37,saint martin bangle set__106,aeropostale bow necklace__62,oliver peoples matte black glasses__4428
17,0,club l essentials lace cami top__11,cropped denim jacket__25,dr denim pocket skinny jeans__237,vans authentic slim skate shoes__49,leather crossbody bag__37,bar gold-tone black chain link bangle bracelet set__106,feather indie ring__65,topshop mixed shape stone ring pack__65
